# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 61 34560
  53 518.594 546.271 908.759
  54 528.594 562.685 909.322
  55 538.594 536.56 914.288
  56 548.594 552.361 925.636
  57 558.594 582.179 924.768
  58 568.594 563.16 926.564
  59 578.594 564.333 929.586
  60 588.594 576.631 926.07
  61 598.594 76.5105 925.527
1000000 61 34559.99999999999
  1 -1.40616 575.707 924.399
  2 8.59384 615.16 931.359
  3 18.5938 603.075 932.515
  4 28.5938 585.638 942.071
  5 38.5938 581.305 942.071
  6 48.5938 575.906 944.86
  7 58.5938 564.604 949.971
  8 68.5938 560.835 950.757
  9 78.5938 552.651 950.501
  10 88.5938 540.811 958.322
  11 98.5938 533.868 959.823
  12 108.594 554.094 957.706
  13 118.594 562.595 957.265
  14 128.594 567.755 956.133
  15 138.594 590.127 971.399
  16 148.594 579.991 978.389
  17 158.594 557.665 972.228
  18 168.594 584.383 964.548
  19 178.594 589.296 958.259
  20 188.594 592.47 954.866
  21 198.594 596.388 946.535
  22 208.594 614.385 944.837
  23 218.594 549.914 945.296
  24 228.594 577.68 941.817
  25 238.594 600.559 941.646
  26 248.594 580.181 939.367
  27 258.594 622.893 938.509
  28 268.594 628.482 935.347
  29 278.594 592.051 935.544
  30 288.594 578.28 931.426
  31 298.594 547.853 928.065
  32 308.594 545.905 930.71
  33 318.594 557.967 926.254
  34 328.594 581.607 926.199
  35 338.594 592.14 924.794
  36 348.594 575.489 924.705
  37 358.594 583.394 923.019
  38 368.594 589.799 920.446
  39 378.594 584.057 917.95
  40 388.594 588.668 908.802
  41 398.594 566.41 905.192
  42 408.594 571.77 907.513
  43 418.594 581.296 906.675
  44 428.594 571.97 905.669
  45 438.594 604.314 905.642
  46 448.594 595.953 904.618
  47 458.594 572.679 909.987
  48 468.594 561.08 913.533
  49 478.594 566.501 909.987
  50 488.594 560.253 911.176
  51 498.594 539.281 914.355
  52 508.594 552.457 917.402
  53 518.594 544.828 925.553
  54 528.594 563.415 926.889
  55 538.594 535.663 925.321
  56 548.594 553.905 925.041
  57 558.594 583.222 924.697
  58 568.594 561.797 924.434
  59 578.594 563.418 920.188
  60 588.594 576.628 916.064
  61 598.594 77.5302 917.41
